"","Names","Total Sugars","GLUCOSE","GALACTOSE","FRUCTOSE","SUCROSE","LACTOSE","MALTOSE","TOT. MET. FRUCTOSE","Sugar_Percentage","Fructose_Percentage","Fructose_per_Sugar"
"69","Hard candy",62.3,0,0,0,66.7,0,0,33.4,0.623,0.334,0.536115569823435
"70","Bit O Honey",42.4,5,0,0.5,27,2.5,5,14,0.424,0.14,0.330188679245283
"71","Almond Joy",44.9,0,0,0,0,0,0,0,0.449,0,0
"72","Baby Ruth",42,0,0,0,0,0,0,0,0.42,0,0
"73","Butterfinger",48.8,0,0,0,0,0,0,0,0.488,0,0
"74","Caramello Candy Bar",54.2,0,0,0,0,0,0,0,0.542,0,0
"75","Nestles Crunch Candy Bar",52.4,0,0,0.2,45.1,6.8,0,22.8,0.524,0.228,0.435114503816794
"76","Nestles 100 Grand Candy Bar",63.5,0,0,0,0,0,0,0,0.635,0,0
"77","Nestles Raisinets",62.5,0,0,0,0,0,0,0,0.625,0,0
"78","Reeses Pieces",50,0,0,0,0,0,0,0,0.5,0,0
"79","Skittles",76.4,0,0,0,0,0,0,0,0.764,0,0
"80","Nestles Plain Milk Chocolate Candy Bar",51,0,0,0,0,0,0,0,0.51,0,0
"81","Hershey’s Kisses",50,0,0,0,0,0,0,0,0.5,0,0
"82","Sugar babies",72.9,0,0,0,0,0,0,0,0.729,0,0
"83","Milk Duds",50,0,0,0,0,0,0,0,0.5,0,0
"84","Junior Mints",82.2,0,0,0,0,0,0,0,0.822,0,0
